priority_rank,section,entry_type,entry_id,sport,competition,event,market_family,market_selection,line_or_alternatives,pricing_tier,odds_status,evidence_quality,confidence,thesis,counter_evidence,line_sensitivity,correlation_tags,optional_superbet_check_priority,why_useful_even_without_odds,what_odds_needed_only_for_price_stake_decision
12,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_089_cs2_betboom_team_vs_team_nemesis_2026_07_03t130000_0000_map_handicap,cs2,XSE Pro League,BetBoom Team vs Team Nemesis,map_handicap,Map handicap - hdp 2 :: hdp,2,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Map handicap - hdp 2` as a manual Superbet search path for BetBoom Team vs Team Nemesis; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,cs2_betboom_team_vs_team_nemesis_2026_07_03t130000_0000; map_handicap,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
13,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_091_cs2_faze_vs_sinners_2026_07_03t130000_0000_map_handicap,cs2,XSE Pro League,FaZe vs Sinners,map_handicap,Map handicap - FaZe 1 :: FaZe,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Map handicap - FaZe 1` as a manual Superbet search path for FaZe vs Sinners; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,cs2_faze_vs_sinners_2026_07_03t130000_0000; map_handicap,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
14,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_102_cs2_parivision_vs_lynn_vision_2026_07_03t080000_0000_map_handicap,cs2,XSE Pro League,PARIVISION vs Lynn Vision,map_handicap,Map handicap - PARIVISION 1 :: PARIVISION,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Map handicap - PARIVISION 1` as a manual Superbet search path for PARIVISION vs Lynn Vision; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,cs2_parivision_vs_lynn_vision_2026_07_03t080000_0000; map_handicap,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
15,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_004_football_argentina_vs_cape_verde_2026_07_03t220000_0000_corners,football,International - FIFA World Cup,Argentina vs Cape Verde,corners,Total corners - hdp 2 :: hdp,2,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Total corners - hdp 2` as a manual Superbet search path for Argentina vs Cape Verde; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,football_argentina_vs_cape_verde_2026_07_03t220000_0000; corners,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
16,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_002_football_australia_vs_egypt_2026_07_03t180000_0000_corners,football,International - FIFA World Cup,Australia vs Egypt,corners,Total corners - hdp 2 :: hdp,2,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Total corners - hdp 2` as a manual Superbet search path for Australia vs Egypt; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,football_australia_vs_egypt_2026_07_03t180000_0000; corners,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
17,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_034_football_bray_wanderers_vs_athlone_town_2026_07_03t184500_0000_corners,football,Ireland - First Division,Bray Wanderers vs Athlone Town,corners,Total corners - hdp 2 :: hdp,2,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Total corners - hdp 2` as a manual Superbet search path for Bray Wanderers vs Athlone Town; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,football_bray_wanderers_vs_athlone_town_2026_07_03t184500_0000; corners,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
18,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_024_football_comets_vs_croydon_2026_07_03t110000_0000_corners,football,Australia - South Australia NPL,Comets vs Croydon,corners,Total corners - hdp 2 :: hdp,2,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Total corners - hdp 2` as a manual Superbet search path for Comets vs Croydon; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,football_comets_vs_croydon_2026_07_03t110000_0000; corners,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
19,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_018_football_derry_city_vs_waterford_2026_07_03t184500_0000_corners,football,Ireland - Premier Division,Derry City vs Waterford,corners,Total corners - hdp 2 :: hdp,2,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Total corners - hdp 2` as a manual Superbet search path for Derry City vs Waterford; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,football_derry_city_vs_waterford_2026_07_03t184500_0000; corners,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
20,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_010_football_drogheda_united_vs_bohemians_d_2026_07_03t184500_0000_corners,football,Ireland - Premier Division,Drogheda United vs Bohemians D.,corners,Total corners - hdp 2 :: hdp,2,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Total corners - hdp 2` as a manual Superbet search path for Drogheda United vs Bohemians D.; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,football_drogheda_united_vs_bohemians_d_2026_07_03t184500_0000; corners,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
21,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_026_football_green_gully_vs_bentleigh_2026_07_03t093000_0000_corners,football,Australia - Victoria NPL,Green Gully vs Bentleigh,corners,Total corners - hdp 2 :: hdp,2,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Total corners - hdp 2` as a manual Superbet search path for Green Gully vs Bentleigh; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,football_green_gully_vs_bentleigh_2026_07_03t093000_0000; corners,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
22,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_020_football_hafnarfjordur_vs_stjarnan_2026_07_03t191500_0000_goals_totals,football,Iceland - Efsta deild,Hafnarfjordur vs Stjarnan,goals_totals,Total goals - hdp 1 :: hdp,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Total goals - hdp 1` as a manual Superbet search path for Hafnarfjordur vs Stjarnan; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,football_hafnarfjordur_vs_stjarnan_2026_07_03t191500_0000; goals_totals,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
23,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_030_football_heidelberg_united_vs_st_albans_saints_dinamo_2026_07_03t093000_0000_corners,football,Australia - Victoria NPL,Heidelberg United vs ST Albans Saints Dinamo,corners,Total corners - hdp 2 :: hdp,2,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Total corners - hdp 2` as a manual Superbet search path for Heidelberg United vs ST Albans Saints Dinamo; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,football_heidelberg_united_vs_st_albans_saints_dinamo_2026_07_03t093000_0000; corners,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
24,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_032_football_ir_reykjavik_vs_afturelding_2026_07_03t191500_0000_goals_totals,football,Iceland - 1 deild,IR Reykjavik vs Afturelding,goals_totals,Total goals - hdp 1 :: hdp,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Total goals - hdp 1` as a manual Superbet search path for IR Reykjavik vs Afturelding; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,football_ir_reykjavik_vs_afturelding_2026_07_03t191500_0000; goals_totals,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
25,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_038_football_japs_vs_akatemia_2026_07_03t153000_0000_corners,football,Finland - Ykkosliiga,JaPS vs Akatemia,corners,Total corners - hdp 2 :: hdp,2,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Total corners - hdp 2` as a manual Superbet search path for JaPS vs Akatemia; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,football_japs_vs_akatemia_2026_07_03t153000_0000; corners,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
26,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_036_football_loudoun_united_fc_vs_sporting_jax_2026_07_03t233000_0000_corners,football,"USA - USL, Championship",Loudoun United FC vs Sporting Jax,corners,Total corners - hdp 2 :: hdp,2,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Total corners - hdp 2` as a manual Superbet search path for Loudoun United FC vs Sporting Jax; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,football_loudoun_united_fc_vs_sporting_jax_2026_07_03t233000_0000; corners,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
27,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_028_football_nomme_united_vs_nomme_united_2026_07_03t160000_0000_corners,football,Estonia - Premium Liiga,Nomme United vs Nomme United,corners,Total corners - hdp 2 :: hdp,2,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Total corners - hdp 2` as a manual Superbet search path for Nomme United vs Nomme United; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,football_nomme_united_vs_nomme_united_2026_07_03t160000_0000; corners,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
28,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_016_football_shelbourne_vs_dundalk_2026_07_03t190000_0000_corners,football,Ireland - Premier Division,Shelbourne vs Dundalk,corners,Total corners - hdp 2 :: hdp,2,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Total corners - hdp 2` as a manual Superbet search path for Shelbourne vs Dundalk; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,football_shelbourne_vs_dundalk_2026_07_03t190000_0000; corners,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
29,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_012_football_sirius_vs_mjallby_2026_07_03t170000_0000_corners,football,Sweden - Allsvenskan,Sirius vs Mjallby,corners,Total corners - hdp 2 :: hdp,2,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Total corners - hdp 2` as a manual Superbet search path for Sirius vs Mjallby; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,football_sirius_vs_mjallby_2026_07_03t170000_0000; corners,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
30,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_006_football_sligo_rovers_vs_shamrock_2026_07_03t184500_0000_corners,football,Ireland - Premier Division,Sligo Rovers vs Shamrock,corners,Total corners - hdp 2 :: hdp,2,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Total corners - hdp 2` as a manual Superbet search path for Sligo Rovers vs Shamrock; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,football_sligo_rovers_vs_shamrock_2026_07_03t184500_0000; corners,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
31,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_014_football_st_patrick_s_vs_galway_utd_2026_07_03t184500_0000_corners,football,Ireland - Premier Division,St. Patrick´s vs Galway Utd,corners,Total corners - hdp 2 :: hdp,2,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Total corners - hdp 2` as a manual Superbet search path for St. Patrick´s vs Galway Utd; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,football_st_patrick_s_vs_galway_utd_2026_07_03t184500_0000; corners,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
32,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_022_football_wolves_vs_rochedale_2026_07_03t093000_0000_goals_totals,football,Australia - Queensland NPL,Wolves vs Rochedale,goals_totals,Total goals - hdp 1 :: hdp,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Total goals - hdp 1` as a manual Superbet search path for Wolves vs Rochedale; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,football_wolves_vs_rochedale_2026_07_03t093000_0000; goals_totals,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
33,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_008_football_yunnan_yukun_vs_henan_2026_07_03t120000_0000_corners,football,China - Chinese Super League,Yunnan Yukun vs Henan,corners,Total corners - hdp 2 :: hdp,2,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Total corners - hdp 2` as a manual Superbet search path for Yunnan Yukun vs Henan; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,football_yunnan_yukun_vs_henan_2026_07_03t120000_0000; corners,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
34,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_042_tennis_alexandrova_ekaterina_vs_jovic_iva_2026_07_03t113000_0000_total_games,tennis,"WTA - Wimbledon, London, Great Britain, Qualifying","Alexandrova, Ekaterina vs Jovic, Iva",total_games,Total games - hdp 1 :: hdp,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,"Use `Total games - hdp 1` as a manual Superbet search path for Alexandrova, Ekaterina vs Jovic, Iva; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,tennis_alexandrova_ekaterina_vs_jovic_iva_2026_07_03t113000_0000; total_games,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
35,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_046_tennis_bartunkova_nikola_vs_krejcikova_barbora_2026_07_03t131000_0000_total_games,tennis,"WTA - Wimbledon, London, Great Britain, Qualifying","Bartunkova, Nikola vs Krejcikova, Barbora",total_games,Total games - hdp 1 :: hdp,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,"Use `Total games - hdp 1` as a manual Superbet search path for Bartunkova, Nikola vs Krejcikova, Barbora; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,tennis_bartunkova_nikola_vs_krejcikova_barbora_2026_07_03t131000_0000; total_games,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
36,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_066_tennis_bencic_belinda_vs_kalinskaya_anna_2026_07_03t100000_0000_total_games,tennis,"WTA - Wimbledon, London, Great Britain, Qualifying","Bencic, Belinda vs Kalinskaya, Anna",total_games,Total games - hdp 1 :: hdp,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,"Use `Total games - hdp 1` as a manual Superbet search path for Bencic, Belinda vs Kalinskaya, Anna; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,tennis_bencic_belinda_vs_kalinskaya_anna_2026_07_03t100000_0000; total_games,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
37,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_052_tennis_davidovich_fokina_alejandro_vs_fucsovics_marton_2026_07_03t124000_0000_total_games,tennis,"ATP - Wimbledon, London, GB, Qualifying, 1st - 2nd Round","Davidovich Fokina, Alejandro vs Fucsovics, Marton",total_games,Total games - hdp 1 :: hdp,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,"Use `Total games - hdp 1` as a manual Superbet search path for Davidovich Fokina, Alejandro vs Fucsovics, Marton; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,tennis_davidovich_fokina_alejandro_vs_fucsovics_marton_2026_07_03t124000_0000; total_games,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
38,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_068_tennis_hurkacz_hubert_vs_paul_tommy_2026_07_03t125000_0000_total_games,tennis,"ATP - Wimbledon, London, GB, Qualifying, 1st - 2nd Round","Hurkacz, Hubert vs Paul, Tommy",total_games,Total games - hdp 1 :: hdp,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,"Use `Total games - hdp 1` as a manual Superbet search path for Hurkacz, Hubert vs Paul, Tommy; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,tennis_hurkacz_hubert_vs_paul_tommy_2026_07_03t125000_0000; total_games,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
39,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_050_tennis_jodar_rafael_vs_mochizuki_shintaro_2026_07_03t113000_0000_total_games,tennis,"ATP - Wimbledon, London, GB, Qualifying, 1st - 2nd Round","Jodar, Rafael vs Mochizuki, Shintaro",total_games,Total games - hdp 1 :: hdp,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,"Use `Total games - hdp 1` as a manual Superbet search path for Jodar, Rafael vs Mochizuki, Shintaro; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,tennis_jodar_rafael_vs_mochizuki_shintaro_2026_07_03t113000_0000; total_games,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
40,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_044_tennis_kasatkina_daria_vs_osaka_naomi_2026_07_03t120000_0000_total_games,tennis,"WTA - Wimbledon, London, Great Britain, Qualifying","Kasatkina, Daria vs Osaka, Naomi",total_games,Total games - hdp 1 :: hdp,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,"Use `Total games - hdp 1` as a manual Superbet search path for Kasatkina, Daria vs Osaka, Naomi; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,tennis_kasatkina_daria_vs_osaka_naomi_2026_07_03t120000_0000; total_games,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
41,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_048_tennis_liu_claire_vs_gauff_coco_2026_07_03t145000_0000_total_games,tennis,"WTA - Wimbledon, London, Great Britain, Qualifying","Liu, Claire vs Gauff, Coco",total_games,Total games - hdp 1 :: hdp,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,"Use `Total games - hdp 1` as a manual Superbet search path for Liu, Claire vs Gauff, Coco; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,tennis_liu_claire_vs_gauff_coco_2026_07_03t145000_0000; total_games,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
42,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_058_tennis_muchova_karolina_vs_sawangkaew_mananchaya_2026_07_03t131000_0000_total_games,tennis,"WTA - Wimbledon, London, Great Britain, Qualifying","Muchova, Karolina vs Sawangkaew, Mananchaya",total_games,Total games - hdp 1 :: hdp,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,"Use `Total games - hdp 1` as a manual Superbet search path for Muchova, Karolina vs Sawangkaew, Mananchaya; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,tennis_muchova_karolina_vs_sawangkaew_mananchaya_2026_07_03t131000_0000; total_games,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
